pixel	correction
1247	0.974405
1248	0.968542
1249	0.970292
1250	0.968407
1251	0.966126
1252	0.96954
1253	0.977726
1254	0.973559
1255	0.97616
1256	0.976322
1257	0.971102
1258	0.968793
1259	0.977875
1260	0.972699
1261	0.974836
1262	0.967458
1263	0.969863
1264	0.97133
1265	0.974353
1266	0.973795
1267	0.976923
1268	0.975115
1269	0.973502
1270	0.978463
1271	0.97756
1272	0.972928
1273	0.972433
1274	0.969891
1275	0.969738
1276	0.973307
1277	0.974519
1278	0.972144
1279	0.973831
1280	0.986174
1281	0.986596
1282	0.986916
1283	0.987152
1284	0.986784
1285	0.987228
1286	0.984577
1287	0.985339
1288	0.983321
1289	0.979296
1290	0.978175
1291	0.982714
1292	0.980678
1293	0.987084
1294	0.987582
1295	0.984011
1296	0.98409
1297	0.98038
1298	0.987175
1299	0.988696
1300	0.97917
1301	0.982489
1302	0.983555
1303	0.977803
1304	0.997296
1305	0.997018
1306	0.991904
1307	0.990272
1308	0.994864
1309	0.989726
1310	0.996601
1311	0.989651
1312	0.983742
1313	0.981143
1314	0.980823
1315	0.981904
1316	0.97873
1317	0.975287
1318	0.973811
1319	0.979454
1320	0.98344
1321	0.986375
1322	0.983493
1323	0.985908
1324	0.973055
1325	0.974086
1326	0.977659
1327	0.977771
1328	0.995946
1329	0.997754
1330	0.991478
1331	0.991358
1332	0.985714
1333	0.980531
1334	0.9842
1335	0.977909
1336	0.990242
1337	0.990946
1338	0.993497
1339	0.993901
1340	0.981629
1341	0.985464
1342	0.982329
1343	0.98639
1344	1.010389
1345	1.012856
1346	1.020156
1347	1.022255
1348	1.024528
1349	1.029056
1350	1.029435
1351	1.019309
1352	1.026156
1353	1.023226
1354	1.02228
1355	1.024644
1356	1.023115
1357	1.02326
1358	1.026924
1359	1.026083
1360	1.00901
1361	1.016551
1362	1.018535
1363	1.013456
1364	1.014893
1365	1.005009
1366	1.005207
1367	1.014382
1368	0.999738
1369	1.00442
1370	1.008725
1371	1.003137
1372	0.995373
1373	0.998258
1374	0.995531
1375	0.99827
1376	1.029995
1377	1.025609
1378	1.026624
1379	1.031886
1380	1.031807
1381	1.018463
1382	1.019001
1383	1.034371
1384	1.036353
1385	1.029828
1386	1.035479
1387	1.025338
1388	1.017957
1389	1.017107
1390	1.027573
1391	1.023486
1392	1.006409
1393	1.005996
1394	1.012057
1395	1.011819
1396	1.016499
1397	1.020045
1398	1.015335
1399	1.016661
1400	1.003043
1401	1.008898
1402	0.999245
1403	1.003988
1404	1.017904
1405	1.009504
1406	1.02057
1407	1.014432
1408	0.995645
1409	0.981386
1410	1.010354
1411	0.994386
1412	1.021715
1413	1.011424
1414	0.995341
1415	1.006168
1416	1.004883
1417	1.013707
1418	1.029057
1419	1.02145
1420	1.039825
1421	1.032247
1422	1.023848
1423	1.033075
1424	1.042397
1425	1.042469
1426	1.036868
1427	1.038544
1428	1.020987
1429	1.035727
1430	1.026183
1431	1.033588
1432	1.03896
1433	1.036242
1434	1.038124
1435	1.041011
1436	1.028507
1437	1.028736
1438	1.035184
1439	1.036163
1440	0.9991
1441	1.007384
1442	1.012999
1443	1.007394
1444	1.018381
1445	1.026304
1446	1.027279
1447	1.01603
1448	0.996485
1449	0.990644
1450	1.002318
1451	0.980759
1452	1.027059
1453	1.026677
1454	1.020098
1455	1.022314
1456	1.014037
1457	1.008254
1458	1.021386
1459	1.017209
1460	1.024924
1461	1.024576
1462	1.023218
1463	1.025884
1464	1.023833
1465	1.022465
1466	1.022507
1467	1.018222
1468	1.01531
1469	1.02132
1470	1.018725
1471	1.022559
1472	0.988882
1473	0.992495
1474	0.991785
1475	0.995882
1476	0.9882
1477	0.985476
1478	0.983619
1479	0.985906
1480	0.998304
1481	1.000595
1482	0.997172
1483	0.994596
1484	0.994237
1485	0.9918
1486	0.988808
1487	0.991356
1488	0.996405
1489	0.99576
1490	0.992717
1491	0.992053
1492	1.003579
1493	1.001661
1494	1.007504
1495	0.999398
1496	1.002981
1497	0.996552
1498	0.992443
1499	0.998148
1500	1.016924
1501	1.012065
1502	1.009766
1503	1.00483
1504	1.002254
1505	1.004482
1506	1.008645
1507	1.006266
1508	1.008161
1509	1.008788
1510	1.011605
1511	1.005342
1512	1.001134
1513	1.000135
1514	1.004285
1515	0.996678
1516	1.013937
1517	1.016403
1518	1.010204
1519	1.012734
1520	1.034322
1521	1.031879
1522	1.029093
1523	1.027855
1524	1.022865
1525	1.016977
1526	1.023592
1527	1.019608
1528	1.019398
1529	1.025679
1530	1.024432
1531	1.03104
1532	1.00823
1533	1.013592
1534	1.012942
1535	1.019126
1536	0.994818
1537	0.989803
1538	0.991145
1539	0.985655
1540	0.997188
1541	1.001795
1542	1.004285
1543	1.000112
1544	0.984231
1545	0.985285
1546	0.991774
1547	0.990228
1548	0.997983
1549	1.001732
1550	1.000997
1551	0.996565
1552	1.000651
1553	0.99987
1554	1.002987
1555	1.003745
1556	0.986961
1557	0.994553
1558	0.9874
1559	0.993858
1560	0.997735
1561	1.002527
1562	1.003539
1563	0.99975
1564	0.98385
1565	0.986051
1566	0.990794
1567	0.993241
1568	0.980796
1569	0.980687
1570	0.978663
1571	0.980329
1572	0.983459
1573	0.983914
1574	0.984053
1575	0.984489
1576	0.984999
1577	0.98268
1578	0.982462
1579	0.986451
1580	0.982297
1581	0.978818
1582	0.981349
1583	0.978352
1584	0.975735
1585	0.97461
1586	0.974318
1587	0.973082
1588	0.974103
1589	0.975569
1590	0.973105
1591	0.975218
1592	0.980212
1593	0.976488
1594	0.97902
1595	0.976749
1596	0.98119
1597	0.981142
1598	0.977466
1599	0.976736
1600	0.984523
1601	0.986437
1602	0.985092
1603	0.985989
1604	0.983716
1605	0.980505
1606	0.981009
1607	0.982963
1608	0.984937
1609	0.983166
1610	0.984265
1611	0.985145
1612	0.984711
1613	0.982379
1614	0.981169
1615	0.984505
1616	0.982931
1617	0.984218
1618	0.983204
1619	0.982731
1620	0.981185
1621	0.98108
1622	0.979511
1623	0.982791
1624	0.978691
1625	0.978128
1626	0.980802
1627	0.980969
1628	0.978149
1629	0.978466
1630	0.977985
1631	0.979413
1632	0.985711
1633	0.983512
1634	0.98607
1635	0.988189
1636	0.994729
1637	1.002079
1638	0.999086
1639	0.997953
1640	0.9935
1641	0.987745
1642	0.990798
1643	0.989429
1644	0.996851
1645	0.995729
1646	0.99203
1647	0.990329
1648	0.994284
1649	1.000191
1650	0.991982
1651	0.998242
1652	0.990331
1653	0.989733
1654	0.996586
1655	0.995666
1656	0.980394
1657	0.985456
1658	0.981251
1659	0.987291
1660	0.981619
1661	0.980503
1662	0.98475
1663	0.98453
1664	0.99643
1665	0.9915
1666	0.997382
1667	0.993102
1668	1.002341
1669	1.007161
1670	1.005825
1671	1.001532
1672	0.995208
1673	0.99834
1674	0.99926
1675	0.997894
1676	1.002446
1677	1.008402
1678	1.007623
1679	1.00213
1680	1.008913
1681	1.004774
1682	1.010644
1683	1.014187
1684	1.002976
1685	1.007947
1686	1.008721
1687	1.002716
1688	1.01529
1689	1.019485
1690	1.017617
1691	1.013039
1692	1.018574
1693	1.014336
1694	1.016513
1695	1.013156
1696	0.994325
1697	0.999122
1698	1.000385
1699	0.994642
1700	0.98855
1701	0.984042
1702	0.98814
1703	0.984301
1704	0.985413
1705	0.990296
1706	0.989019
1707	0.987712
1708	0.992909
1709	0.996704
1710	0.994672
1711	1.000215
1712	1.003652
1713	0.998602
1714	1.002026
1715	0.996527
1716	1.002595
1717	1.002819
1718	0.997111
1719	0.997958
1720	1.012976
